ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
217634_at,2.835765973,6.169321629,10.55987549,8.97E-12,4.91E-07,16.20351217
202990_at,3.2818838,10.83049753,9.078688528,3.16E-10,5.04E-06,13.0319979
230193_at,4.380610699,10.5243222,8.993861744,3.91E-10,5.04E-06,12.8400623
241079_at,2.759008268,5.597475426,8.960316335,4.26E-10,5.04E-06,12.76385192
202411_at,2.882750986,14.26513764,8.929027042,4.61E-10,5.04E-06,12.69260994
223963_s_at,3.497926479,5.503051981,8.623656196,1.00E-09,9.13E-06,11.98937964
204844_at,2.735787804,8.004709246,8.459999033,1.53E-09,1.06E-05,11.60660816
203256_at,3.197254485,12.74572037,8.453893974,1.55E-09,1.06E-05,11.59225034
212365_at,3.416495901,11.22417846,8.354738115,2.00E-09,1.12E-05,11.35826558
203438_at,3.738837271,6.859606166,8.345843846,2.05E-09,1.12E-05,11.33720453
220513_at,6.297120624,7.692948264,8.209823027,2.92E-09,1.34E-05,11.01363472
202912_at,2.86699199,13.37445057,8.208593097,2.93E-09,1.34E-05,11.0106963
232674_at,3.415520395,7.806508777,8.021591908,4.79E-09,2.02E-05,10.56131943
1552487_a_at,3.60660079,10.85012121,7.927752578,6.14E-09,2.34E-05,10.33387904
204281_at,2.406576438,9.332547818,7.911237149,6.42E-09,2.34E-05,10.2937176
213793_s_at,1.899420782,9.960404672,7.742559727,1.01E-08,3.14E-05,9.881287474
228377_at,-2.832500723,5.875010844,-7.732769975,1.03E-08,3.14E-05,9.857226026
41037_at,2.442087133,9.396684556,7.693013668,1.15E-08,3.30E-05,9.759372982
203005_at,1.819373489,10.95709022,7.672416571,1.21E-08,3.32E-05,9.708589367
204475_at,6.493351536,13.11519091,7.651114736,1.28E-08,3.34E-05,9.656005573
211756_at,5.364676846,10.93089928,7.490570593,1.98E-08,4.92E-05,9.25767508
1569439_at,3.563861299,5.609596297,7.449243561,2.21E-08,5.07E-05,9.154565866
212364_at,2.740173806,11.61730077,7.440091681,2.27E-08,5.07E-05,9.13170106
203510_at,2.655625137,11.267153,7.431946055,2.32E-08,5.07E-05,9.111340757
231936_at,3.691400664,6.256800694,7.398769843,2.54E-08,5.22E-05,9.02832346
1570155_at,2.374805662,6.079357228,7.393045301,2.58E-08,5.22E-05,9.013983947
232164_s_at,3.582622885,11.67694962,7.370403291,2.74E-08,5.35E-05,8.957224721
225051_at,-1.60676773,10.2003483,-7.32606981,3.09E-08,5.83E-05,8.845892086
239828_at,-3.045370406,3.701861269,-7.284042727,3.47E-08,6.12E-05,8.740112453
202628_s_at,5.78746306,10.35912861,7.215562054,4.18E-08,7.14E-05,8.567258232
205241_at,2.144284975,12.34189407,7.202104814,4.34E-08,7.19E-05,8.533219319
231766_s_at,5.142622806,9.315585663,7.118895265,5.45E-08,8.71E-05,8.322236571
205157_s_at,3.037652014,14.92302712,7.110269573,5.58E-08,8.71E-05,8.300315701
205828_at,5.853110013,11.59277987,7.063305888,6.35E-08,9.64E-05,8.180802238
206528_at,1.688402714,7.594780248,7.025670838,7.04E-08,0.000104024,8.0848319
1554314_at,3.034964764,8.447700419,6.93194655,9.12E-08,0.000128011,7.845086123
213419_at,2.433821523,8.275405602,6.91512963,9.55E-08,0.000128011,7.801957611
202345_s_at,1.800043767,15.34737127,6.912057363,9.63E-08,0.000128011,7.7940749
213506_at,2.637165961,11.5154642,6.908575721,9.73E-08,0.000128011,7.785140488
1556773_at,5.945032766,10.07945557,6.904570558,9.83E-08,0.000128011,7.774860882
225688_s_at,2.131500885,11.90636122,6.893255767,1.01E-07,0.000128013,7.745810298
228863_at,2.064161396,8.540117134,6.887753235,1.03E-07,0.000128013,7.731677202
230877_at,-4.337393998,3.378491305,-6.867017437,1.09E-07,0.000132566,7.678386208
211980_at,2.563453416,12.7387714,6.843695222,1.16E-07,0.000138342,7.618388606
1552477_a_at,2.010866977,11.35110483,6.8279604,1.22E-07,0.000141437,7.577874618
206975_at,-3.189103782,3.446100118,-6.800599771,1.31E-07,0.000149416,7.507359255
232313_at,-3.975222648,3.377677003,-6.777356579,1.40E-07,0.000156128,7.447389024
204729_s_at,2.366756774,7.746628542,6.742434244,1.54E-07,0.000168607,7.35717149
204858_s_at,2.726059734,11.36650504,6.71833544,1.65E-07,0.000176768,7.294836444
229900_at,2.304332838,9.449955796,6.671337473,1.88E-07,0.000192317,7.173086992
232165_at,3.203401564,11.53737156,6.668418523,1.89E-07,0.000192317,7.165517506
203736_s_at,2.337766952,7.244444779,6.667568522,1.90E-07,0.000192317,7.163313092
217497_at,2.398595674,11.24927226,6.636238088,2.07E-07,0.000206072,7.082006159
212396_s_at,1.933599758,9.419286949,6.625414296,2.14E-07,0.000208602,7.053892684
1556163_a_at,2.667942204,6.20007192,6.615686842,2.20E-07,0.000210587,7.028616294
229622_at,2.994697814,7.122814695,6.596565221,2.32E-07,0.000218316,6.978900701
242399_at,-1.596995454,6.124639797,-6.555296173,2.60E-07,0.000240561,6.871473597
212236_x_at,1.929895982,14.98899728,6.549761508,2.64E-07,0.000240561,6.857053098
203439_s_at,2.432355457,7.402452134,6.540253501,2.71E-07,0.000243001,6.832272856
210026_s_at,2.563781263,11.11323393,6.527761398,2.81E-07,0.000246784,6.799701441
243446_at,3.16874702,6.036792355,6.523221062,2.84E-07,0.000246784,6.78785926
203324_s_at,2.477855733,12.52389443,6.506642904,2.98E-07,0.000250566,6.744602339
227372_s_at,1.934688681,10.79010989,6.493398763,3.09E-07,0.000256105,6.710025153
211160_x_at,2.808021752,12.19137339,6.47750279,3.23E-07,0.000262913,6.668501863
201976_s_at,2.49941787,11.48876693,6.473286914,3.27E-07,0.000262913,6.657485045
212662_at,1.668575007,8.69438823,6.466239836,3.34E-07,0.000262913,6.63906593
211964_at,2.635033617,12.26197103,6.46307428,3.37E-07,0.000262913,6.630790471
224102_at,-2.259094394,1.406424003,-6.441173267,3.58E-07,0.00027565,6.573509869
210355_at,4.013508738,10.75043973,6.405821645,3.95E-07,0.000290358,6.480953393
201249_at,3.776805624,8.251734109,6.40351754,3.98E-07,0.000290358,6.474916759
235492_at,1.943075184,8.806687412,6.403171156,3.98E-07,0.000290358,6.474009208
1554600_s_at,1.997573353,10.81056192,6.378784699,4.27E-07,0.000301439,6.410086818
224950_at,2.721462404,10.69494947,6.375912843,4.30E-07,0.000301439,6.402555404
1561673_at,2.475108432,5.135643277,6.33793592,4.79E-07,0.000326652,6.302890302
235133_at,-1.500987697,6.614519597,-6.336935721,4.80E-07,0.000326652,6.300263653
1552575_a_at,2.547569523,9.080360077,6.329622242,4.90E-07,0.000326652,6.281054786
1559891_at,2.646691803,5.883112099,6.320079698,5.03E-07,0.000331512,6.255984076
212179_at,-2.134044839,10.13338709,-6.304403368,5.26E-07,0.000335803,6.214780764
1554008_at,2.359099169,9.246482178,6.301777222,5.30E-07,0.000335803,6.207876139
241193_at,2.061879357,6.18197916,6.299160037,5.34E-07,0.000335803,6.20099447
218644_at,2.887803152,10.95157765,6.298820484,5.34E-07,0.000335803,6.2001016
220021_at,3.474283902,6.399818569,6.286574256,5.53E-07,0.000342981,6.167892831
238105_x_at,4.032970023,7.949019357,6.283263375,5.58E-07,0.000342981,6.159182647
221902_at,2.2073578,9.558419977,6.273625544,5.74E-07,0.000348519,6.133822267
221676_s_at,1.965096736,11.77496469,6.263349448,5.91E-07,0.000354831,6.106773574
212668_at,2.018229503,6.995478503,6.256604243,6.02E-07,0.000357721,6.089013956
211668_s_at,3.629325657,9.367602954,6.232218863,6.45E-07,0.000376413,6.024776866
1554274_a_at,1.908007691,6.894547239,6.230950849,6.47E-07,0.000376413,6.021435236
207373_at,5.133041676,6.804139818,6.21549648,6.76E-07,0.000382696,5.980697164
220927_s_at,-1.990347281,2.189378943,-6.2130913,6.81E-07,0.000382696,5.974355273
214192_at,-3.269840531,3.531429077,-6.210343627,6.86E-07,0.000382696,5.967109724
233450_at,-2.998982189,3.96384086,-6.19516016,7.16E-07,0.000395443,5.9270601
222136_x_at,-1.696076,7.895554785,-6.183885789,7.39E-07,0.000400169,5.897309394
206924_at,5.45825228,7.569395488,6.162984845,7.84E-07,0.000416528,5.84212911
